Ticker,Date/Time,Open,High,Low,Close,Volume(Unit),Net Buy Sell(Total),Net Buy Sell Foreign,Trade Value
AALI,08/04/2020,9600.00,9800.00,9500.00,9700.00,1863000.00,2672790016.00,-622402496.00,18007459840.00
ABBA,08/04/2020,50.00,50.00,50.00,50.00,8100.00,405000.00,0.00,405000.00
ABDA,08/04/2020,7025.00,7025.00,7025.00,7025.00,0.00,0.00,0.00,0.00
ABMM,08/04/2020,1050.00,1050.00,1050.00,1050.00,1100.00,-1155000.00,0.00,1155000.00
ACES,08/04/2020,1700.00,1700.00,1670.00,1680.00,11673400.00,4166028544.00,-5025843712.00,19635060736.00
ACST,08/04/2020,232.00,254.00,232.00,242.00,1387800.00,-83373400.00,-109817800.00,340822208.00
ADES,08/04/2020,940.00,1020.00,940.00,975.00,250800.00,59330000.00,0.00,247758000.00
ADHI,08/04/2020,565.00,575.00,550.00,565.00,12291800.00,-1512242560.00,-390963008.00,6945905664.00
ADMF,08/04/2020,7600.00,7650.00,7450.00,7550.00,129200.00,-273809984.00,245597504.00,972574976.00
ADMG,08/04/2020,100.00,110.00,100.00,105.00,7517100.00,-15711500.00,0.00,774948672.00
ADRO,08/04/2020,1040.00,1060.00,1030.00,1035.00,46118000.00,-7952707072.00,6266664448.00,47946346496.00
AGAR,08/04/2020,510.00,510.00,470.00,486.00,20400.00,9461200.00,0.00,9955200.00
AGII,08/04/2020,520.00,550.00,510.00,545.00,498100.00,193815008.00,0.00,259682000.00
AGRI,08/04/2020,1132.92,1157.86,1128.18,1155.42,176097248.00,5153974272.00,-2010846592.00,65603026944.00
AGRO,08/04/2020,212.00,226.00,206.00,220.00,33001200.00,-972517184.00,84613600.00,7231262208.00
AGRS,08/04/2020,140.00,142.00,140.00,142.00,30500.00,-4317000.00,0.00,4317000.00
AHAP,08/04/2020,60.00,60.00,50.00,52.00,96000.00,996800.00,0.00,4822000.00
AIMS,08/04/2020,180.00,180.00,180.00,180.00,0.00,0.00,0.00,0.00
AISA,08/04/2020,168.00,168.00,168.00,168.00,0.00,0.00,0.00,0.00
AKKU,08/04/2020,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00
